Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org
1006064594,U,OB,1,1,600,136602,70,18:00.0,6,9:00,100
1040427067,U,OB,1,1,1530,138032,85,28:00.0,2,17:00,104
1042096692,U,OB,1,1,150,138032,85,33:00.0,2,17:00,104
1090255687,U,OB,1,5,3575,136589,83,52:00.0,5,20:00,126
1090924808,U,OB,1,1,273,291181,77,24:00.0,4,7:00,126
1129341530,U,IB,1,1,1950,127450,160,29:00.0,4,5:00,251
1129341678,U,OB,1,1,50,136412,28,07:00.0,2,1:00,251
1129341678,U,IB,1,1,50,136412,155,53:00.0,6,23:00,251
1129341797,U,IB,1,1,390,137124,157,57:00.0,5,4:00,251
1129342127,U,IB,1,1,1100,137285,161,53:00.0,6,22:00,251
112958277X,U,OB,1,6,3696,134858,64,45:00.0,4,7:00,205
1129614972,U,OB,1,1,580,131936,66,08:00.0,2,17:00,205
1320927071,U,OB,1,5,1107,123397,72,18:00.0,2,19:00,896
1357269662,U,OB,1,4,1560,137305,62,47:00.0,2,4:00,135
1606386802,U,OB,1,34,697,132951,79,23:00.0,5,0:00,160
1851936413,U,OB,1,8,3887,127196,76,56:00.0,5,11:00,841
1851936817,U,OB,1,2,1079,125254,68,23:00.0,3,21:00,841
1851936862,U,OB,1,3,1455,131914,81,22:00.0,5,7:00,841
1851936945,U,OB,1,2,984,131914,81,28:00.0,5,7:00,841
1851937064,U,OB,1,4,2312,136190,73,37:00.0,4,1:00,841
1851937156,U,OB,1,1,478,133255,60,49:00.0,5,1:00,841
1851937248,U,OB,1,1,1281,133255,60,00:00.0,5,0:00,841
1851937284,U,OB,1,4,2342,T730211725,71,02:00.0,3,18:00,841
1851937320,U,OB,1,2,820,132567,70,45:00.0,5,0:00,841
1851937430,U,OB,1,2,749,132567,70,33:00.0,5,1:00,841
1856772417,U,OB,1,3,893,136453,75,52:00.0,3,19:00,155
1978333921,U,IB,1,1,560,136534,124,24:00.0,3,12:00,216
1978334013,U,IB,1,4,9169,119679,155,35:00.0,3,13:00,216
1978334040,U,OB,1,2,1130,123784,5,50:00.0,6,7:00,216
1978334040,U,IB,1,2,1130,123784,159,24:00.0,6,4:00,216
197833405X,U,IB,1,1,240,123784,159,52:00.0,6,4:00,216
1978334096,U,IB,1,1,150,126445,163,25:00.0,1,8:00,216
1978334105,U,IB,1,2,4552,135960,159,26:00.0,5,7:00,216
1978345691,U,IB,1,4,1185,121537,127,41:00.0,3,15:00,216
197834571X,U,IB,1,1,220,131830,163,17:00.0,6,1:00,216
1978345792,U,IB,1,1,755,131600,130,40:00.0,6,12:00,216
197834582X,U,OB,1,4,3760,252112,5,50:00.0,6,7:00,216
197834582X,U,IB,1,4,3760,252112,116,04:00.0,6,7:00,216
1978345857,U,IB,1,1,200,123784,159,38:00.0,6,3:00,216
1978448110,U,IB,1,1,755,131161,161,21:00.0,1,0:00,216
197869386X,U,IB,1,1,730,136483,159,26:00.0,7,10:00,216
197871707X,U,OB,1,1,233,124393,20,23:00.0,1,22:00,216
2003782855,U,OB,1,1,400,249338,74,24:00.0,4,21:00,232
2099354144,U,OB,1,1,140,132454,89,44:00.0,6,0:00,615
2120560845,U,OB,1,2,1485,140433,98,33:00.0,1,18:00,172
2139178162,U,OB,1,1,375,138173,83,34:00.0,5,10:00,213
2139813412,U,IB,1,1,538,134529,159,35:00.0,3,8:00,213
2140796869,U,OB,1,3,605,138353,60,28:00.0,5,7:00,182
2140796887,U,OB,1,4,786,131640,70,23:00.0,3,19:00,182
2140796896,U,OB,1,9,1962,135249,72,29:00.0,5,4:00,182
2141319726,U,IB,1,5,2420,126301,114,21:00.0,1,20:00,182
2168584227,U,OB,1,1,206,135147,73,08:00.0,1,14:00,623
2195366451,U,IB,1,1,1378,PAMT151312,124,18:00.0,4,11:00,326
2195366891,U,OB,1,2,1051,118672,79,19:00.0,2,10:00,326
2195366965,U,IB,1,4,7980,PAMT161410,114,52:00.0,4,9:00,326
2195367102,U,OB,1,1,488,OWEL53673,64,55:00.0,6,6:00,326
2195367194,U,OB,1,1,345,136648,87,30:00.0,7,11:00,326
2195367946,U,IB,1,2,4024,136291,100,24:00.0,1,20:00,326
2195368294,U,IB,1,1,333,123027,100,52:00.0,5,21:00,326
2195368312,U,OB,1,1,1247,PAMT161359,73,09:00.0,7,2:00,326
2195368359,U,OB,1,1,1401,PAMT161359,73,57:00.0,7,1:00,326
2196649446,U,OB,1,1,496,128766,76,33:00.0,5,0:00,326
2196649455,U,OB,1,2,1236,261315,79,59:00.0,1,19:00,326
2403204172,U,OB,1,1,945,134402,70,42:00.0,4,20:00,730
2404005100,U,OB,1,1,966,251290,46,10:00.0,2,15:00,730
2404005100,U,OB,1,1,966,251290,73,15:00.0,6,11:00,730
2404303119,U,OB,1,3,4865,251290,73,21:00.0,6,10:00,730
2443571316,U,OB,1,1,450,126495,68,39:00.0,5,22:00,754
2464858994,U,IB,1,1,120,117038,159,32:00.0,3,2:00,246
2473246596,U,IB,1,1,220,138782,116,41:00.0,3,5:00,245
2473246632,U,CTY,1,21,1090,202574,172,13:00.0,5,18:00,245
2473246733,U,IB,1,2,477,134012,114,58:00.0,6,8:00,245
2473246742,U,IB,1,4,1425,134012,114,30:00.0,6,8:00,245
2479720949,U,IB,1,1,320,430952,126,25:00.0,7,6:00,202
251388477X,U,IB,1,1,190,126445,157,18:00.0,5,9:00,251
2513884908,U,IB,1,2,485,127763,158,38:00.0,4,16:00,251
2513898914,U,IB,1,1,110,127693,118,23:00.0,3,7:00,251
2513898923,U,IB,1,1,163,127693,118,27:00.0,3,7:00,251
2514693691,U,CTY,1,1,1827,290019,170,49:00.0,5,6:00,251
2514693700,U,CTY,1,1,1827,290019,170,47:00.0,5,6:00,251
2530096095,U,OB,1,1,422,121924,85,50:00.0,6,8:00,556
2531462919,U,OB,1,1,145,133480,98,29:00.0,3,7:00,213
2531462928,U,OB,1,2,2965,133480,98,22:00.0,3,7:00,213
2531862163,U,OB,1,2,1245,123062,78,35:00.0,7,5:00,783
2535086135,U,OB,1,1,68,133188,70,43:00.0,4,7:00,318
253585003X,U,OB,1,6,7500,136415,98,14:00.0,3,10:00,567
2535850049,U,OB,1,2,2500,121248,75,12:00.0,5,19:00,567
2537078042,U,OB,1,2,370,280173,64,25:00.0,5,3:00,895
2537394274,U,OB,1,1,439,123484,77,03:00.0,6,17:00,621
2539452585,U,OB,1,4,2625,558590,62,15:00.0,5,18:00,388
2539452594,U,IB,1,3,1950,134701,100,15:00.0,7,8:00,388
2588234849,U,IB,1,1,284,430039,116,23:00.0,7,4:00,356
