Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org,UnloadDate,UnloadTime
1006064594,U,OB,1,1,600,136602,70,"43,413.39",6,9:00:00,100,11/9/2018,9:18:00
1040427067,U,OB,1,1,1530,138032,85,"43,395.73",2,17:00,104,10/22/2018,17:28:00
1042096692,U,OB,1,1,150,138032,85,"43,395.73",2,17:00,104,10/22/2018,17:33:00
1090255687,U,OB,1,5,3575,136589,83,"43,405.87",5,20:00,126,11/1/2018,20:52:00
1090924808,U,OB,1,1,273,291181,77,"43,411.31",4,7:00,126,11/7/2018,7:24:00
1129341530,U,IB,1,1,1950,127450,160,"43,397.23",4,5:00,251,10/24/2018,5:29:00
1129341678,U,OB,1,1,50,136412,28,"43,402.05",2,1:00,251,10/29/2018,1:07:00
1129341678,U,IB,1,1,50,136412,155,"43,400.00",6,23:00,251,10/26/2018,23:53:00
1129341797,U,IB,1,1,390,137124,157,"43,405.21",5,4:00,251,11/1/2018,4:57:00
1129342127,U,IB,1,1,1100,137285,161,"43,420.95",6,22:00,251,11/16/2018,22:53:00
112958277X,U,OB,1,6,3696,134858,64,"43,404.32",4,7:00,205,10/31/2018,7:45:00
1129614972,U,OB,1,1,580,131936,66,"43,402.71",2,17:00,205,10/29/2018,17:08:00
1320927071,U,OB,1,5,1107,123397,72,"43,409.80",2,19:00,896,11/5/2018,19:18:00
1357269662,U,OB,1,4,1560,137305,62,"43,402.20",2,4:00,135,10/29/2018,4:47:00
1606386802,U,OB,1,34,697,132951,79,"43,405.02",5,0:00,160,11/1/2018,0:23:00
1851936413,U,OB,1,8,3887,127196,76,"43,398.50",5,11:00,841,10/25/2018,11:56:00
1851936817,U,OB,1,2,1079,125254,68,"43,403.89",3,21:00,841,10/30/2018,21:23:00
1851936862,U,OB,1,3,1455,131914,81,"43,405.31",5,7:00,841,11/1/2018,7:22:00
1851936945,U,OB,1,2,984,131914,81,"43,405.31",5,7:00,841,11/1/2018,7:28:00
1851937064,U,OB,1,4,2312,136190,73,"43,411.07",4,1:00,841,11/7/2018,1:37:00
1851937156,U,OB,1,1,478,133255,60,"43,412.08",5,1:00,841,11/8/2018,1:49:00
1851937248,U,OB,1,1,1281,133255,60,"43,412.00",5,0:00,841,11/8/2018,0:00:00
1851937284,U,OB,1,4,2342,T730211725,71,"43,417.75",3,18:00,841,11/13/2018,18:02:00
1851937320,U,OB,1,2,820,132567,70,"43,419.03",5,0:00,841,11/15/2018,0:45:00
1851937430,U,OB,1,2,749,132567,70,"43,419.06",5,1:00,841,11/15/2018,1:33:00
1856772417,U,OB,1,3,893,136453,75,"43,403.83",3,19:00,155,10/30/2018,19:52:00
1978333921,U,IB,1,1,560,136534,124,"43,410.52",3,12:00,216,11/6/2018,12:24:00
1978334013,U,IB,1,4,9169,119679,155,"43,417.57",3,13:00,216,11/13/2018,13:35:00
1978334040,U,OB,1,2,1130,123784,5,"43,420.33",6,7:00,216,11/16/2018,7:50:00
1978334040,U,IB,1,2,1130,123784,159,"43,420.18",6,4:00,216,11/16/2018,4:24:00
197833405X,U,IB,1,1,240,123784,159,"43,420.20",6,4:00,216,11/16/2018,4:52:00
1978334096,U,IB,1,1,150,126445,163,"43,415.35",1,8:00,216,11/11/2018,8:25:00
1978334105,U,IB,1,2,4552,135960,159,"43,412.31",5,7:00,216,11/8/2018,7:26:00
1978345691,U,IB,1,4,1185,121537,127,"43,417.65",3,15:00,216,11/13/2018,15:41:00
197834571X,U,IB,1,1,220,131830,163,"43,420.05",6,1:00,216,11/16/2018,1:17:00
1978345792,U,IB,1,1,755,131600,130,"43,420.53",6,12:00,216,11/16/2018,12:40:00
197834582X,U,OB,1,4,3760,252112,5,"43,420.33",6,7:00,216,11/16/2018,7:50:00
197834582X,U,IB,1,4,3760,252112,116,"43,420.29",6,7:00,216,11/16/2018,7:04:00
1978345857,U,IB,1,1,200,123784,159,"43,420.15",6,3:00,216,11/16/2018,3:38:00
1978448110,U,IB,1,1,755,131161,161,"43,415.01",1,0:00,216,11/11/2018,0:21:00
197869386X,U,IB,1,1,730,136483,159,"43,421.43",7,10:00,216,11/17/2018,10:26:00
197871707X,U,OB,1,1,233,124393,20,"43,394.93",1,22:00,216,10/21/2018,22:23:00
2003782855,U,OB,1,1,400,249338,74,"43,404.89",4,21:00,232,10/31/2018,21:24:00
2099354144,U,OB,1,1,140,132454,89,"43,406.03",6,0:00,615,11/2/2018,0:44:00
2120560845,U,OB,1,2,1485,140433,98,"43,408.77",1,18:00,172,11/4/2018,18:33:00
2139178162,U,OB,1,1,375,138173,83,"43,398.44",5,10:00,213,10/25/2018,10:34:00
2139813412,U,IB,1,1,538,134529,159,"43,396.36",3,8:00,213,10/23/2018,8:35:00
2140796869,U,OB,1,3,605,138353,60,"43,398.31",5,7:00,182,10/25/2018,7:28:00
2140796887,U,OB,1,4,786,131640,70,"43,417.81",3,19:00,182,11/13/2018,19:23:00
2140796896,U,OB,1,9,1962,135249,72,"43,419.19",5,4:00,182,11/15/2018,4:29:00
2141319726,U,IB,1,5,2420,126301,114,"43,408.85",1,20:00,182,11/4/2018,20:21:00
2168584227,U,OB,1,1,206,135147,73,"43,394.59",1,14:00,623,10/21/2018,14:08:00
2195366451,U,IB,1,1,1378,PAMT151312,124,"43,397.47",4,11:00,326,10/24/2018,11:18:00
2195366891,U,OB,1,2,1051,118672,79,"43,402.43",2,10:00,326,10/29/2018,10:19:00
2195366965,U,IB,1,4,7980,PAMT161410,114,"43,404.41",4,9:00,326,10/31/2018,9:52:00
2195367102,U,OB,1,1,488,OWEL53673,64,"43,406.29",6,6:00,326,11/2/2018,6:55:00
2195367194,U,OB,1,1,345,136648,87,"43,407.48",7,11:00,326,11/3/2018,11:30:00
2195367946,U,IB,1,2,4024,136291,100,"43,415.85",1,20:00,326,11/11/2018,20:24:00
2195368294,U,IB,1,1,333,123027,100,"43,419.91",5,21:00,326,11/15/2018,21:52:00
2195368312,U,OB,1,1,1247,PAMT161359,73,"43,421.09",7,2:00,326,11/17/2018,2:09:00
2195368359,U,OB,1,1,1401,PAMT161359,73,"43,421.08",7,1:00,326,11/17/2018,1:57:00
2196649446,U,OB,1,1,496,128766,76,"43,405.02",5,0:00,326,11/1/2018,0:33:00
