Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
1042096683,L,CTY,1,1,70,138160,182,27:00.0,2,19:00,409,409,409
1083138520,L,CTY,1,6,5184,123950,227,20:00.0,6,22:00,422,422,422
1124761956,L,CTY,1,1,630,133577,191,34:00.0,1,5:00,433,433,433
1129341833,L,OB,1,1,501,138531,87,01:00.0,1,4:00,108,108,108
113571880X,L,CTY,1,1,269,138232,173,29:00.0,5,22:00,415,415,415
1139333601,L,IB,1,4,2016,130932,121,55:00.0,4,4:00,671,653,653
1201033955,L,OB,1,1,205,127375,37,47:00.0,6,13:00,642,642,642
1219784803,L,CTY,1,1,93,127543,199,26:00.0,1,20:00,422,422,422
1320907217,L,CTY,1,1,570,140370,208,01:00.0,6,4:00,422,422,422
1320907244,L,CTY,1,2,1482,132405,210,12:00.0,6,4:00,422,422,422
1616826014,L,CTY,1,1,576,122820,171,35:00.0,1,21:00,462,462,462
1681950457,L,IB,1,1,495,135704,107,44:00.0,7,18:00,455,455,455
1851936844,L,OB,1,5,2620,125587,80,13:00.0,6,8:00,647,647,647
1851937129,L,OB,1,1,343,139923,80,22:00.0,5,14:00,647,647,647
1851937349,L,OB,1,3,1155,290256,80,41:00.0,3,18:00,647,647,647
1920180501,L,OB,1,2,1447,249065,62,58:00.0,3,21:00,881,881,881
196930139X,L,IB,1,1,150,123950,139,23:00.0,7,18:00,433,433,433
1970025924,L,CTY,1,1,67,121486,216,59:00.0,5,8:00,422,422,422
1976169837,L,OB,1,3,2498,131333,99,20:00.0,1,21:00,431,431,431
1978334022,L,IB,1,1,40,202663,157,04:00.0,3,13:00,728,423,423
1978345673,L,IB,1,1,1012,211570,167,38:00.0,6,9:00,740,740,740
1978345682,L,IB,1,2,8695,558986,156,18:00.0,3,14:00,401,402,402
1978903914,L,IB,1,2,1016,126461,108,40:00.0,7,13:00,521,521,521
1978945402,L,IB,1,4,4320,131529,100,50:00.0,3,14:00,511,511,511
1978945420,L,IB,1,8,3591,127444,156,20:00.0,5,8:00,402,402,402
197894543X,L,IB,1,3,1249,138814,114,50:00.0,7,23:00,511,511,511
1978945467,L,IB,1,6,2256,131233,160,56:00.0,7,12:00,411,411,411
1978945503,L,IB,1,6,6292,261315,156,21:00.0,3,15:00,414,402,402
1978945568,L,IB,1,3,1213,116843,102,37:00.0,7,22:00,511,511,511
1978945577,L,IB,1,5,2060,124081,156,13:00.0,7,19:00,402,402,402
1978945586,L,IB,1,4,4400,135469,154,58:00.0,3,14:00,402,402,402
2001064499,L,CTY,1,1,1020,140265,182,44:00.0,6,10:00,409,409,409
2001879186,L,CTY,1,2,4848,138232,173,38:00.0,5,19:00,415,415,415
