Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org
1042096683,U,CTY,1,1,70,138164,187,58:00.0,2,13:00,104
1083138520,U,CTY,1,6,5184,123950,173,57:00.0,6,6:00,158
1124761956,U,IB,1,1,630,279969,141,34:00.0,1,5:00,205
1131961924,U,CTY,1,1,157,41422,168,44:00.0,4,7:00,847
113571880X,U,IB,1,1,269,290776,104,29:00.0,5,22:00,847
1201033955,U,OB,1,1,205,132336,53,35:00.0,6,2:00,754
1219784803,U,CTY,1,1,93,127543,196,08:00.0,1,18:00,256
1320907217,U,OB,1,1,570,140370,63,45:00.0,6,0:00,896
1320907235,U,CTY,1,1,530,261081,192,37:00.0,3,8:00,896
1320907262,U,CTY,1,1,810,125269,195,49:00.0,1,21:00,896
1321118325,U,IB,1,1,100,129296,158,18:00.0,3,5:00,896
1321118325,U,CTY,1,1,100,129296,210,12:00.0,3,8:00,896
1616826014,U,CTY,1,1,576,138837,192,35:00.0,1,21:00,152
1681950457,U,IB,1,1,495,130842,103,44:00.0,7,18:00,218
1780532117,U,OB,1,1,210,121829,60,42:00.0,7,22:00,132
1851936844,U,IB,1,5,2620,126165,149,07:00.0,6,7:00,841
1851937129,U,CTY,1,1,343,130521,168,22:00.0,5,14:00,841
1851937349,U,CTY,1,3,1155,125345,169,41:00.0,3,18:00,841
1920180501,U,OB,1,2,1447,139697,49,46:00.0,3,21:00,411
196930139X,U,CTY,1,1,150,431077,173,23:00.0,7,18:00,511
1970025924,U,CTY,1,1,67,121486,192,30:00.0,5,3:00,243
1976169837,U,OB,1,3,2498,137673,95,08:00.0,1,20:00,216
1978334022,U,CTY,1,1,40,134535,169,04:00.0,3,13:00,216
1978345682,U,IB,1,2,8695,125176,145,56:00.0,3,13:00,216
1978903914,U,IB,1,2,1016,131089,112,40:00.0,7,13:00,216
1978945402,U,IB,1,4,4320,135340,149,50:00.0,3,14:00,216
1978945420,U,CTY,1,8,3591,124186,168,20:00.0,5,8:00,216
197894543X,U,IB,1,3,1249,131089,112,12:00.0,7,12:00,216
1978945467,U,IB,1,6,2256,126013,163,56:00.0,7,12:00,216
1978945503,U,IB,1,6,6292,125025,143,26:00.0,3,13:00,216
1978945568,U,IB,1,3,1213,123280,111,37:00.0,7,22:00,216
1978945577,U,IB,1,5,2060,132868,116,13:00.0,7,19:00,216
1978945586,U,IB,1,4,4400,125176,145,58:00.0,3,14:00,216
2001064499,U,IB,1,1,1020,127905,111,18:00.0,6,0:00,218
2001879186,U,IB,1,2,4848,R218191522,103,38:00.0,5,19:00,218
2001879195,U,CTY,1,1,2573,130752,172,57:00.0,6,6:00,218
2003496819,U,IB,1,1,340,430079,101,21:00.0,3,18:00,218
2003496828,U,IB,1,1,224,129558,114,47:00.0,5,18:00,218
2003496846,U,IB,1,2,710,530455,117,12:00.0,6,10:00,218
2003567439,U,OB,1,1,305,138501,86,07:00.0,1,21:00,218
2003569199,U,OB,1,1,1020,252293,84,26:00.0,6,16:00,218
2003569217,U,CTY,1,5,9871,904116,189,00:00.0,7,10:00,218
2003782790,U,OB,1,1,1110,123711,90,45:00.0,1,12:00,232
2003782974,U,CTY,1,1,140,116773,187,16:00.0,5,21:00,232
2003783057,U,CTY,1,1,205,135246,189,55:00.0,4,18:00,232
2004239768,U,IB,1,1,1275,430399,112,35:00.0,4,15:00,218
2004239777,U,IB,1,1,1305,559835,145,41:00.0,2,15:00,218
2004239786,U,IB,1,1,1320,127746,127,25:00.0,5,3:00,218
2004846784,U,IB,1,1,324,134163,143,38:00.0,4,18:00,218
200484683X,U,OB,1,1,324,127603,96,55:00.0,6,3:00,218
2004846858,U,IB,1,1,950,430881,123,29:00.0,5,4:00,218
2129677113,U,OB,1,2,1125,136318,69,18:00.0,3,19:00,172
2131086544,U,IB,1,1,632,134038,114,20:00.0,5,1:00,213
2195366534,U,CTY,1,1,920,290358,168,59:00.0,4,20:00,326
219536658X,U,CTY,1,1,920,290358,168,45:00.0,4,20:00,326
2195366653,U,IB,1,1,939,133936,125,28:00.0,7,0:00,326
2195366790,U,CTY,1,2,2585,138029,187,42:00.0,7,12:00,326
2195367533,U,IB,1,1,168,124301,127,09:00.0,3,18:00,326
2195367542,U,IB,1,1,706,124301,127,00:00.0,3,18:00,326
2195367625,U,IB,1,1,243,123514,145,45:00.0,5,8:00,326
2195368056,U,IB,1,1,433,122611,143,55:00.0,4,22:00,326
2195368074,U,CTY,1,1,451,127583,189,04:00.0,3,19:00,326
2195368092,U,CTY,1,1,504,127583,189,08:00.0,3,19:00,326
2195368110,U,CTY,1,1,165,127583,189,50:00.0,3,18:00,326
2403204172,U,OB,1,1,945,136659,43,52:00.0,3,20:00,730
2404005100,U,OB,1,1,966,135152,38,22:00.0,5,4:00,730
2404303119,U,OB,1,3,4865,135152,38,59:00.0,5,3:00,730
2410855746,U,OB,1,1,317,131824,51,27:00.0,1,7:00,740
2410855800,U,OB,1,2,2382,136551,58,45:00.0,5,12:00,740
2443571316,U,OB,1,1,450,133341,46,03:00.0,4,2:00,754
2444058726,U,OB,1,2,5300,131440,14,22:00.0,6,19:00,754
2463451636,U,IB,1,1,1252,131333,112,14:00.0,7,15:00,246
2473246751,U,OB,1,1,208,139805,55,34:00.0,5,5:00,245
2473246760,U,OB,1,1,485,132124,96,37:00.0,6,18:00,245
2473246760,U,OB,1,1,485,132124,54,38:00.0,6,18:00,245
247324677X,U,OB,1,1,271,132124,96,41:00.0,6,18:00,245
2511037832,U,IB,1,2,5216,135145,135,36:00.0,1,4:00,251
2513876382,U,IB,1,1,63,136818,158,09:00.0,7,4:00,251
251469371X,U,CTY,1,1,935,130815,172,01:00.0,2,9:00,251
2514693729,U,CTY,1,2,1827,130815,172,59:00.0,2,8:00,251
2515894341,U,CTY,1,1,2319,131972,169,50:00.0,4,19:00,251
2515894379,U,IB,1,2,4137,136818,158,07:00.0,7,1:00,251
2515894388,U,IB,1,8,2975,134043,123,31:00.0,3,1:00,251
2530242157,U,OB,1,1,148,139746,66,49:00.0,5,10:00,556
2531148620,U,IB,1,1,333,126715,131,28:00.0,7,6:00,213
2531462964,U,IB,1,1,205,136648,112,20:00.0,5,18:00,213
2531591866,U,OB,1,1,98,261279,58,36:00.0,7,21:00,616
2532918594,U,CTY,1,20,100,124196,192,34:00.0,5,10:00,223
2533801409,U,CTY,1,7,7794,138204,197,40:00.0,7,1:00,158
253406990X,U,OB,1,1,160,202627,75,46:00.0,5,2:00,682
2534091176,U,IB,1,2,1834,136765,151,25:00.0,7,19:00,682
2534143994,U,IB,1,17,260,127190,112,28:00.0,5,4:00,682
2535851616,U,IB,1,1,60,134290,151,26:00.0,2,3:00,567
2536472575,U,CTY,1,1,146,129714,172,04:00.0,4,4:00,616
2537078107,U,IB,1,1,95,137585,127,32:00.0,3,10:00,895
2537811569,U,IB,1,2,710,131304,101,26:00.0,1,4:00,617
2540298055,U,CTY,1,1,245,123328,168,14:00.0,6,6:00,245
2540298165,U,IB,1,1,441,127543,105,32:00.0,4,4:00,245
2540298174,U,IB,1,1,474,126018,112,45:00.0,7,4:00,245
2540298183,U,OB,1,1,458,136002,86,25:00.0,4,3:00,245
2558528273,U,IB,1,7,125,137723,151,20:00.0,6,1:00,531
2558534837,U,IB,1,3,72,137723,151,41:00.0,6,0:00,531
255853491X,U,CTY,1,3,46,131040,194,14:00.0,6,8:00,531
255853513X,U,IB,1,3,54,137723,151,36:00.0,6,0:00,531
2558535212,U,IB,1,4,86,137723,151,19:00.0,6,1:00,531
2558535304,U,IB,1,3,66,137723,151,50:00.0,6,0:00,531
2558542344,U,CTY,1,1,15,137082,174,19:00.0,5,4:00,531
2558542427,U,IB,1,2,29,137723,151,30:00.0,6,0:00,531
2616783197,U,OB,1,2,32,123402,78,02:00.0,1,18:00,404
2616783206,U,OB,1,2,32,123402,78,02:00.0,1,18:00,404
2616783215,U,OB,1,1,12,123402,78,55:00.0,1,17:00,404
2749242521,U,OB,1,2,915,136611,46,40:00.0,3,5:00,202
2749242530,U,OB,1,3,591,136611,46,30:00.0,3,6:00,202
2749311657,U,IB,1,1,300,129911,127,36:00.0,6,7:00,202
2749340239,U,OB,1,1,992,130744,96,29:00.0,7,10:00,348
2749391966,U,OB,1,1,176,123008,46,02:00.0,4,11:00,202
2749391975,U,IB,1,2,390,530418,123,44:00.0,1,1:00,202
2749391993,U,IB,1,1,474,530418,123,50:00.0,1,1:00,202
2749407797,U,IB,1,1,160,278823,135,19:00.0,5,6:00,202
2749644461,U,OB,1,90,1635,353223,84,39:00.0,7,19:00,202
2749678058,U,OB,1,1,170,123681,75,05:00.0,3,6:00,202
274969167X,U,IB,1,22,13040,138046,125,16:00.0,4,18:00,202
2749696693,U,OB,1,181,1022,136063,72,21:00.0,1,7:00,202
2749696904,U,OB,1,74,960,140385,88,55:00.0,5,0:00,202
2749696922,U,OB,1,60,700,140385,88,40:00.0,4,20:00,202
2749696931,U,OB,1,58,607,140385,88,46:00.0,4,18:00,202
2749696987,U,OB,1,103,1305,138148,84,27:00.0,5,0:00,202
2749696996,U,OB,1,53,558,138148,85,17:00.0,4,13:00,202
2749696996,U,OB,1,53,558,138148,85,17:00.0,4,13:00,202
2749697005,U,OB,1,15,162,138148,84,29:00.0,4,11:00,202
2749730555,U,OB,1,2,1120,127356,90,50:00.0,6,10:00,202
2749812853,U,OB,1,1,101,200693,59,50:00.0,4,4:00,202
2749812853,U,OB,1,1,101,200693,59,50:00.0,4,4:00,202
2749812862,U,IB,1,1,269,138430,133,54:00.0,4,3:00,202
2749812871,U,IB,1,1,288,200693,114,53:00.0,4,4:00,202
274981311X,U,OB,1,1,625,123681,75,57:00.0,3,7:00,202
2749813147,U,OB,1,2,3945,127356,90,02:00.0,6,11:00,202
2749813174,U,OB,1,1,123,136611,46,05:00.0,3,8:00,202
2749813183,U,IB,1,1,328,132854,117,07:00.0,5,9:00,202
2749813403,U,IB,1,1,110,138046,125,21:00.0,4,22:00,202
2749813412,U,IB,1,1,159,138046,125,29:00.0,4,22:00,202
2749813421,U,IB,1,1,279,138046,125,32:00.0,4,22:00,202
2749813430,U,IB,1,1,1065,138046,125,44:00.0,4,21:00,202
274981344X,U,IB,1,1,276,138046,125,24:00.0,4,22:00,202
2749835688,U,IB,1,1,300,132854,117,13:00.0,5,7:00,202
2758629354,U,OB,1,5,2177,125113,22,11:00.0,6,11:00,415
2781599135,U,OB,1,4,1765,125203,63,27:00.0,2,19:00,411
2785009144,U,OB,1,1,275,131859,22,15:00.0,6,10:00,411
2785039257,U,OB,1,4,1720,131859,22,12:00.0,6,10:00,411
2786200260,U,OB,1,5,2730,135615,53,58:00.0,6,22:00,411
2786200370,U,OB,1,2,690,131859,22,01:00.0,6,8:00,411
2786200783,U,OB,1,1,273,134634,39,21:00.0,6,13:00,411
2786215193,U,OB,1,5,2925,130538,52,40:00.0,1,3:00,411
2786215496,U,OB,1,3,1418,130538,52,23:00.0,1,3:00,411
2786215532,U,OB,1,4,1638,130538,52,55:00.0,1,3:00,411
2786215541,U,OB,1,5,2375,136908,39,18:00.0,7,13:00,411
2788470193,U,OB,1,1,762,291140,46,37:00.0,1,3:00,411
2790975509,U,OB,1,6,3090,140313,73,41:00.0,5,8:00,411
2790975590,U,OB,1,7,3945,136125,67,37:00.0,6,17:00,411
2792160649,U,OB,1,9,3970,119405,72,19:00.0,1,20:00,411
2792160649,U,OB,1,9,3970,119405,50,20:00.0,1,0:00,411
2792175847,U,OB,1,8,4440,119623,49,36:00.0,1,21:00,411
2792175847,U,OB,1,8,4440,119623,7,58:00.0,2,18:00,411
2792175948,U,OB,1,6,3535,281072,60,32:00.0,7,21:00,411
2792175957,U,IB,1,7,3685,136417,101,04:00.0,1,4:00,411
2793287020,U,OB,1,1,310,291008,88,07:00.0,7,13:00,411
2794388259,U,OB,1,4,2530,133480,67,19:00.0,4,3:00,411
279438989X,U,OB,1,2,1715,137640,60,23:00.0,5,20:00,411
279438989X,U,OB,1,2,1715,137640,65,25:00.0,5,20:00,411
2795458824,U,OB,1,5,3970,132935,39,22:00.0,5,14:00,411
2795459722,U,OB,1,5,1630,132935,39,24:00.0,5,13:00,411
2796738041,U,OB,1,2,1910,133012,39,22:00.0,7,19:00,411
280004027X,U,OB,1,1,298,137849,40,19:00.0,1,1:00,411
2801753126,U,OB,1,1,235,119743,95,28:00.0,6,12:00,402
2801811738,U,OB,1,1,204,128551,43,46:00.0,2,17:00,411
2802071713,U,OB,1,2,600,122907,50,20:00.0,1,16:00,411
2802072117,U,OB,1,1,33,126145,49,30:00.0,3,15:00,411
2802072144,U,OB,1,2,502,126145,49,01:00.0,3,15:00,411
2802072171,U,OB,1,3,369,132423,46,13:00.0,3,14:00,411
2802072180,U,OB,1,1,75,126145,49,33:00.0,3,15:00,411
2802072245,U,OB,1,3,285,131173,86,26:00.0,5,19:00,411
2802072254,U,OB,1,6,685,200486,50,24:00.0,4,9:00,411
2802072263,U,OB,1,1,140,131173,86,28:00.0,5,20:00,411
2802072355,U,OB,1,1,145,131173,86,32:00.0,5,20:00,411
2802072382,U,OB,1,1,210,131173,86,25:00.0,5,20:00,411
2802072429,U,OB,1,2,370,132676,78,02:00.0,6,16:00,411
2802072456,U,OB,1,3,788,123183,55,44:00.0,7,12:00,411
2802072474,U,OB,1,1,97,132676,78,21:00.0,6,16:00,411
2802072483,U,OB,1,1,46,132676,78,31:00.0,6,15:00,411
2802072492,U,OB,1,1,114,129503,51,32:00.0,7,19:00,411
280207252X,U,OB,1,1,180,291140,46,48:00.0,1,5:00,411
2802072685,U,OB,1,2,178,127740,50,08:00.0,3,10:00,411
2802072694,U,OB,1,2,275,127740,50,00:00.0,3,10:00,411
2802072703,U,OB,1,5,355,127740,50,05:00.0,3,13:00,411
2802072712,U,OB,1,5,340,127740,50,01:00.0,3,13:00,411
2802072721,U,OB,1,1,190,281393,22,10:00.0,4,16:00,411
2802072730,U,OB,1,1,65,281393,22,31:00.0,4,16:00,411
2802379109,U,OB,1,1,315,281393,22,14:00.0,4,16:00,411
2802379118,U,OB,1,1,315,290395,31,52:00.0,5,21:00,411
2802379127,U,OB,1,1,315,139653,87,53:00.0,6,10:00,411
2802379154,U,OB,1,1,345,280868,89,30:00.0,5,18:00,411
2802379154,U,OB,1,1,345,280868,70,47:00.0,6,0:00,411
2802379246,U,OB,1,1,342,121937,55,33:00.0,6,8:00,411
2802379255,U,OB,1,1,312,139653,87,57:00.0,6,10:00,411
2805870453,U,OB,1,1,315,124272,73,43:00.0,3,17:00,402
2806491100,U,OB,1,1,913,136720,38,22:00.0,7,5:00,411
2806534615,U,OB,1,1,871,126145,49,38:00.0,3,15:00,411
2806534642,U,OB,1,2,1908,126145,49,34:00.0,3,14:00,411
2806534689,U,OB,1,1,569,137227,40,02:00.0,5,15:00,411
2806534698,U,OB,1,1,383,132676,78,09:00.0,6,16:00,411
2806534716,U,OB,1,1,902,139697,32,34:00.0,4,14:00,411
2806534725,U,OB,1,1,264,290404,58,32:00.0,4,22:00,411
2806534734,U,OB,1,1,328,127477,86,19:00.0,6,7:00,411
2806534799,U,OB,1,1,798,R621615905,69,19:00.0,5,20:00,411
2806534808,U,OB,1,1,756,281393,22,23:00.0,4,16:00,411
2808543399,U,IB,1,1,133,128575,104,12:00.0,5,16:00,402
2808543399,U,OB,1,1,133,128575,44,16:00.0,5,19:00,402
2808690972,U,OB,1,1,930,126145,49,46:00.0,3,14:00,411
2808691019,U,OB,1,1,795,132676,78,14:00.0,6,16:00,411
2808691046,U,OB,1,1,836,291140,24,05:00.0,2,6:00,411
2808691046,U,OB,1,1,836,291140,46,44:00.0,1,8:00,411
2808691055,U,OB,1,1,198,291140,46,43:00.0,1,8:00,411
2808691082,U,OB,1,1,302,291008,88,36:00.0,7,18:00,411
2808691091,U,OB,1,1,672,131779,43,14:00.0,6,21:00,411
2885216952,U,IB,1,2,402,904236,151,25:00.0,6,14:00,288
